datetime,Unnamed: 0,year,DOY,time,Ta,HR,VPD,R,meanWS,P,maxWS
2024-04-07 12:00:00,221484,2024,98,1200,17.72,49.0,,,,0.0,
2024-04-07 13:00:00,221485,2024,98,1300,17.94,49.0,,,,0.0,
2024-04-07 14:00:00,221486,2024,98,1400,18.73,54.0,,,,0.0,
2024-04-07 15:00:00,221487,2024,98,1500,18.06,48.0,,,,0.0,
2024-04-07 16:00:00,221488,2024,98,1600,17.94,48.0,,,,0.0,
2024-04-07 17:00:00,221489,2024,98,1700,18.14,58.0,,,,0.0,
2024-04-07 18:00:00,221490,2024,98,1800,17.89,61.0,,,,0.0,
2024-04-07 19:00:00,221491,2024,98,1900,16.56,64.0,,,,0.0,
2024-04-07 20:00:00,221492,2024,98,2000,15.63,53.0,,,,0.0,
2024-04-07 21:00:00,221493,2024,98,2100,14.57,52.0,,,,0.0,
2024-04-07 22:00:00,221494,2024,98,2200,14.61,53.0,,,,0.0,
2024-04-07 23:00:00,221495,2024,98,2300,15.29,49.0,,,,0.0,
2024-04-08 00:00:00,221496,2024,99,0,15.82,55.0,,,,0.0,
2024-04-08 01:00:00,221497,2024,99,100,15.77,48.0,,,,0.0,
2024-04-08 02:00:00,221498,2024,99,200,15.52,51.0,,,,0.0,
2024-04-08 03:00:00,221499,2024,99,300,15.41,59.0,,,,0.0,
2024-04-08 04:00:00,221500,2024,99,400,15.89,64.0,,,,0.0,
2024-04-08 05:00:00,221501,2024,99,500,14.96,60.0,,,,0.0,
2024-04-08 06:00:00,221502,2024,99,600,15.62,58.0,,,,0.0,
2024-04-08 07:00:00,221503,2024,99,700,15.88,57.0,,,,0.0,
2024-04-08 08:00:00,221504,2024,99,800,16.28,41.0,,,,0.0,
2024-04-08 09:00:00,221505,2024,99,900,18.17,41.0,,,,0.0,
2024-04-08 10:00:00,221506,2024,99,1000,19.48,44.0,,,,0.0,
2024-04-08 11:00:00,221507,2024,99,1100,19.26,47.0,,,,0.0,
2024-04-08 12:00:00,221508,2024,99,1200,22.75,47.0,,,,0.0,
2024-04-08 13:00:00,221509,2024,99,1300,22.87,48.0,,,,0.0,
2024-04-08 14:00:00,221510,2024,99,1400,22.12,48.0,,,,0.0,
2024-04-08 15:00:00,221511,2024,99,1500,22.41,51.0,,,,0.0,
2024-04-08 16:00:00,221512,2024,99,1600,21.25,54.0,,,,0.0,
2024-04-08 17:00:00,221513,2024,99,1700,20.19,61.0,,,,0.0,
2024-04-08 18:00:00,221514,2024,99,1800,19.44,66.0,,,,0.0,
2024-04-08 19:00:00,221515,2024,99,1900,18.49,68.0,,,,0.0,
2024-04-08 20:00:00,221516,2024,99,2000,17.03,70.0,,,,0.0,
2024-04-08 21:00:00,221517,2024,99,2100,15.7,66.0,,,,0.0,
2024-04-08 22:00:00,221518,2024,99,2200,12.19,64.0,,,,0.0,
2024-04-08 23:00:00,221519,2024,99,2300,10.26,71.0,,,,0.0,
2024-04-09 00:00:00,221520,2024,100,0,9.61,81.0,,,,0.0,
2024-04-09 01:00:00,221521,2024,100,100,8.42,85.0,,,,0.0,
2024-04-09 02:00:00,221522,2024,100,200,7.69,81.0,,,,0.0,
2024-04-09 03:00:00,221523,2024,100,300,5.9,84.0,,,,0.0,
2024-04-09 04:00:00,221524,2024,100,400,4.48,84.0,,,,0.0,
2024-04-09 05:00:00,221525,2024,100,500,3.78,86.0,,,,0.0,
2024-04-09 06:00:00,221526,2024,100,600,3.2,82.0,,,,0.0,
2024-04-09 07:00:00,221527,2024,100,700,2.7,76.0,,,,0.0,
2024-04-09 08:00:00,221528,2024,100,800,3.56,65.0,,,,0.0,
2024-04-09 09:00:00,221529,2024,100,900,5.37,59.0,,,,0.0,
2024-04-09 10:00:00,221530,2024,100,1000,8.05,55.0,,,,0.0,
2024-04-09 11:00:00,221531,2024,100,1100,10.46,49.0,,,,0.0,
2024-04-09 12:00:00,221532,2024,100,1200,12.49,45.0,,,,0.0,
2024-04-09 13:00:00,221533,2024,100,1300,13.06,42.0,,,,0.0,
2024-04-09 14:00:00,221534,2024,100,1400,13.81,40.0,,,,0.0,
2024-04-09 15:00:00,221535,2024,100,1500,13.45,39.0,,,,0.0,
2024-04-09 16:00:00,221536,2024,100,1600,12.32,43.0,,,,0.0,
2024-04-09 17:00:00,221537,2024,100,1700,12.24,50.0,,,,0.0,
2024-04-09 18:00:00,221538,2024,100,1800,10.94,56.0,,,,0.0,
2024-04-09 19:00:00,221539,2024,100,1900,9.28,58.0,,,,0.0,
2024-04-09 20:00:00,221540,2024,100,2000,8.29,64.0,,,,0.0,
2024-04-09 21:00:00,221541,2024,100,2100,6.99,66.0,,,,0.0,
2024-04-09 22:00:00,221542,2024,100,2200,5.99,70.0,,,,0.0,
2024-04-09 23:00:00,221543,2024,100,2300,5.13,77.0,,,,0.0,
2024-04-10 00:00:00,221544,2024,101,0,4.41,91.0,,,,0.0,
2024-04-10 01:00:00,221545,2024,101,100,3.88,89.0,,,,0.0,
2024-04-10 02:00:00,221546,2024,101,200,3.97,86.0,,,,0.0,
2024-04-10 03:00:00,221547,2024,101,300,3.59,87.0,,,,0.0,
2024-04-10 04:00:00,221548,2024,101,400,3.21,93.0,,,,0.0,
2024-04-10 05:00:00,221549,2024,101,500,2.88,97.0,,,,0.0,
2024-04-10 06:00:00,221550,2024,101,600,2.5,97.0,,,,0.0,
2024-04-10 07:00:00,221551,2024,101,700,2.18,87.0,,,,0.0,
2024-04-10 08:00:00,221552,2024,101,800,2.56,73.0,,,,0.0,
2024-04-10 09:00:00,221553,2024,101,900,3.8,65.0,,,,0.0,
2024-04-10 10:00:00,221554,2024,101,1000,9.05,53.0,,,,0.0,
2024-04-10 11:00:00,221555,2024,101,1100,10.89,48.0,,,,0.0,
2024-04-10 12:00:00,221556,2024,101,1200,12.27,44.0,,,,0.0,
2024-04-10 13:00:00,221557,2024,101,1300,13.78,41.0,,,,0.0,
2024-04-10 14:00:00,221558,2024,101,1400,14.02,36.0,,,,0.0,
2024-04-10 15:00:00,221559,2024,101,1500,16.21,35.0,,,,0.0,
2024-04-10 16:00:00,221560,2024,101,1600,14.52,38.0,,,,0.0,
2024-04-10 17:00:00,221561,2024,101,1700,14.47,40.0,,,,0.0,
2024-04-10 18:00:00,221562,2024,101,1800,13.58,42.0,,,,0.0,
2024-04-10 19:00:00,221563,2024,101,1900,12.7,48.0,,,,0.0,
2024-04-10 20:00:00,221564,2024,101,2000,11.73,55.0,,,,0.0,
2024-04-10 21:00:00,221565,2024,101,2100,10.82,59.0,,,,0.0,
